ID,F_Name,F_Type,Street,Town,OwnerTyp,ConsType,ConsJuri,P_Ground,B_Field,S_Field,F_Field,M_Field,B_Court,T_Court,V_Court,Track,SkatPark,IH_Rink,SH_Rink,Golf,Fishing,Boating,Hunting,Trails,Beach,Pool,ActiveRec,Lon,Lat
2156,Marina Park,LP,Salt Pond,South Kingstown,MUN,CIN,MUN,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-71.49726867000,41.42804336000
2178,Charlestown Town Hall Field,AF,County,Charlestown,MUN,CIN,MUN,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.64531707000,41.41550064000
2197,Gingerella Sports Complex,LP,White Rock,Westerly,MUN,EAS,FED,1,0,5,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-71.83715057000,41.39580535000
2361,Charlestown Town Beach,LP,Brown Hill,Charlestown,MUN,CIN,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-71.62590026000,41.36083221000
2433,Westerly Town Beach,LP,Atlantic,Westerly,MUN,CIN,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-71.79054260000,41.32500839000
2464,Settler's Rock,LP,Corn Neck,New Shoreham,MUN,CIN,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.56745147000,41.22460174000
2472,Crescent Beach,LP,Corn Neck,New Shoreham,MUN,CIN,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-71.56574249000,41.18125534000
2497,Pascone Conservation Area,CA,Burrati,Johnston,MUN,EAS,STA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.51138305000,41.83072280000
2487,Chepiwanoxet,LP,John Wickes,Warwick,MUN,CIN,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-71.44210052000,41.67358398000
2489,Lincoln Park,LP,Kentucky,Warwick,MUN,CIN,MUN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.43691253000,41.73703002000
2492,Iris Ave Field,AF,Iris,Warwick,MUN,CIN,MUN,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.43775177000,41.70772552000
2512,Coventry Focal Point,LP,Tiogue,Coventry,MUN,CIN,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.56047058000,41.68325042000
2532,Phenix-harris Main Street Water,LP,Main,Coventry,MUN,CIN,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.53434753000,41.72279357000
2544,Hanaford Field,LP,Lebaron,East Greenwich,MUN,NON,NON,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.46824645000,41.64935684000
2572,North Smithfield Elementary Sch,LP,Providence Pike,North Smithfield,MUN,CIN,MUN,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.53947448000,41.94132232000
2574,Alphonso St. Playground,LP,Alphonso,Providence,MUN,CIN,MUN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.40862274000,41.80817794000
2605,Waterplace Park,LP,Finance,Providence,MUN,EAS,STA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.41397094000,41.82719802000
2595,Woodmont Playground,LP,Woodmont,Providence,MUN,CIN,MUN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.42726898000,41.79180145000
2602,Springfield School Grounds,LP,Springfield,Providence,MUN,CIN,MUN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.46428680000,41.81609344000
2623,Kingston Street Playground,LP,Kingston,Newport,MUN,CIN,MUN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.31200408000,41.49508285000
2642,Eagle Nest/handy Pond,CA,Old River,Lincoln,MUN,EAS,FED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.47499847000,41.95441436000
2650,Kent Street,AF,Kent,Barrington,MUN,CIN,MUN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.29827880000,41.75379180000
2651,St. Andrew's Farm,AF,Middle,Barrington,MUN,CIN,MUN,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.33137512000,41.74869537000
2658,Ball O'brien Park,LP,Side,New Shoreham,MUN,EAS,STA,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,-71.58007812000,41.18123245000
779,Atwood Ave. Field,LP,Randall,Cranston,MUN,EAS,FED,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.47125244000,41.78388595000
734,Silver Spring Playground & Athletic Area,SC,Silver Spring,East Providence,MUN,CIN,MUN,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.36901855000,41.79899597000
541,Glenlyon Park & Athletic Complex,LP,Kelly,East Providence,MUN,CIN,MUN,1,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.36259460000,41.84048843000
1747,Anchorage Playground,LP,Main,Middletown,MUN,EAS,FED,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.30011749000,41.52035522000
1899,Domenic Cristofaro Memorial Park,LP,Boston Neck,Narragansett,MUN,EAS,FED,1,1,2,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,1,-71.43885803000,41.48949813000
1589,Ryan Park,LP,Oak Hill,North Kingstown,MUN,EAS,FED,0,4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-71.47588348000,41.55818176000
415,Notte Memorial Park,LP,Douglas,North Providence,MUN,EAS,FED,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,-71.46276092000,41.87150192000
47,Pacheco Park,LP,Main,North Smithfield,MUN,EAS,FED,1,4,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-71.58277130000,42.00008010000
333,Whipple Field,AF,Whipple,Smithfield,MUN,CIN,MUN,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.50407409000,41.88507080000
941,Rubery Field,LP,Lyman,Warwick,MUN,EAS,FED,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.42910003000,41.75034713000
865,Belmont Park,LP,1st,Warwick,MUN,CIN,MUN,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.42223358000,41.76161193000
1048,Father Tirocchi Playground,LP,Pontiac,Warwick,MUN,EAS,FED,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.48526000000,41.72366714000
16,Cold Spring Park,LP,Katherine,Woonsocket,MUN,EAS,FED,1,2,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,1,-71.52519989000,42.00914001000
2198,Bradford Elementary School,LP,Penny,Westerly,MUN,EAS,FED,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.74535369000,41.39731216000
2661,Exeter / West Greenwich Soccer,AF,Victory,West Greenwich,MUN,CIN,MUN,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.68421936000,41.63852691000
2674,Colonial Acres Recreation Area,LP,Monroe,Coventry,MUN,CIN,MUN,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.57723999000,41.67241668000
2704,O'Brien Field,LP,Follett,Pawtucket,MUN,EAS,FED,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.37190246000,41.87714004000
