RIDOT MAP Bike Paths,Type,RIDOTbike15 FNODES,RIDOTbike15 Name,Link,OBJECTID,ID,Name,Type,Street,Town,OwnerTyp,Playground,Ball Field,Soccer Field,Football Field,Multi-use Field,Basketball Court,Tennis,Volleyball Court,Track,Skate Park,IH_Rink,SH_Rink,Golf,Fishing,Boating,Hunting,Trails,Beach,Pool,Active Rec,Lon,Lat,Rest Room,Walking Path,Bike Path,State Grant,LWCF Grant,Summary
William C. O'Neill Bike Path,Bike Path,,,http://southcountybikepath.org/,972,972,South County Bike Path,Local Park,Main,South Kingstown,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.498831,41.439366,1,1,1,N,N,South County Bike Path is a Local Park located in South Kingstown
,,,,,973,973,South County Bike Path,Local Park,Railroad,South Kingstown,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.562305,41.483037,1,1,1,N,N,South County Bike Path is a Local Park located in South Kingstown
Blackstone River Bikeway,Bike Path,,,http://www.dot.ri.gov/community/bikeri/blackstone.php,974,974,Blackstone Bikeway,State Park,John,Lincoln,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.400897,41.90716,0,1,1,N,N,Blackstone Bikeway is a State Park located in Lincoln
,,,,,975,975,Blackstone Bikeway,State Park,Lower River,Lincoln,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.43433,41.937642,0,1,1,N,N,Blackstone Bikeway is a State Park located in Lincoln
,,,,,976,976,Blackstone Bikeway,State Park,Rte 295,Lincoln,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.444167,41.939541,1,1,1,N,N,Blackstone Bikeway is a State Park located in Lincoln
,,,,,977,977,Blackstone Bikeway,State Park,School,Lincoln,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.452944,41.953101,0,1,1,N,N,Blackstone Bikeway is a State Park located in Lincoln
,,,,,978,978,Blackstone Bikeway,State Park,New River,Lincoln,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.466971,41.96827,0,1,1,N,N,Blackstone Bikeway is a State Park located in Lincoln
,,,,,979,979,Blackstone Bikeway,State Park,Davison Ext,Woonsocket,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.494231,41.996131,1,1,1,N,N,Blackstone Bikeway is a State Park located in Woonsocket
,,,,,980,980,Ten Mile River Greenway,Local Park,Slater Memorial Park,Pawtucket,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.343168,41.868313,1,1,1,N,N,Ten Mile River Greenway is a Local Park located in Pawtucket
East Bay Bike Path,Bike Path,"212, 214, 256, 154, 162, 157, 195, 162, 137, 139",East Bay Bikeway - State Existing,http://www.dot.ri.gov/community/bikeri/eastbay.php,981,981,East Bay Bike Path,State Park,Veterans Parkway,East Providence,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.388393,41.813305,0,1,1,N,N,East Bay Bike Path is a State Park located in East Providence
