OBJECTID,KeyID,Name,Type,Street,Town,OwnerTyp,ConsType,ConsJuri,Steward,Playground,Ball Field,Soccer Field,Football Field,Multi-use Field,Basketball Court,Tennis,Volleyball Court,Track,Skate Park,Ice Hockey Rink,Street Hockey Rink,Golf,Fishing,Boating,Hunting,Trails,Beach,Pool,Active Rec,RestRoom,Walking Path,Bike Path,StateGrant,LWCFGrant,Lon,Lat,Short_Description,Description,Additional_Names,GoRI_Incude_Suggestion,NoGoRI_Incude_Why,Dogs_Allowed,ADA,Stroller_Friendly,Picnic_Area,Acres_Miles,Contact_Info,Contact_Info_Seasonal,About_Links,Map_Links,GoRI_TestFlag,GoRI_subset
983,983,East Bay Bike Path,LP,Metropolitan Park,Barrington,STA,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,N,N,-71.34900798540,41.75390420270,,,,,,,,,,,,,,,,Y
984,984,East Bay Bike Path,SP,Asylum,Bristol,STA,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,N,N,-71.28395502920,41.68690958620,,,,,,,,,,,,,,,,Y
985,985,Washington Secondary Bikepath,LP,Depot,Cranston,MUN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,N,N,-71.44331981590,41.80142461670,,,,,,,,,,,,,,,,Y
986,986,Washington Secondary Bikepath,LP,Oak,Cranston,MUN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,N,N,-71.45405211400,41.78859906600,,,,,,,,,,,,,,,,Y
987,987,Washington Secondary Bikepath,LP,Sherman,Cranston,MUN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,N,N,-71.47585681510,41.75859166020,,,,,,,,,,,,,,,,Y
988,988,Washington Secondary Bikepath,LP,West Natick,Warwick,MUN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,N,N,-71.48472408260,41.72894192570,,,,,,,,,,,,,,,,Y
989,989,Washington Secondary Bikepath,LP,Hay,West Warwick,MUN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,N,N,-71.51493243010,41.71548853350,,,,,,,,,,,,,,,,Y
990,990,Washington Secondary Bikepath,LP,Pilgrim,Coventry,MUN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,N,N,-71.54755199820,41.69466873680,,,,,,,,,,,,,,,,Y
991,991,Washington Secondary Bikepath,LP,Pinehaven,Coventry,STA,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,N,N,-71.61897790600,41.70414342700,,,,,,,,,,,,,,,,Y
992,992,Quonset Bike Path,LP,Newcomb,North Kingstown,STA,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,N,N,-71.42212785250,41.62019171250,,,,,,,,,,,,,,,,Y
993,993,Fred Lippitt Woonasquatucket River Greenway,LP,Valley,Providence,MUN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,N,N,-71.44009779250,41.82272572330,,,,,,,,,,,,,,,,Y
994,994,Fred Lippitt Woonasquatucket River Greenway,LP,Aleppo,Providence,MUN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,N,N,-71.44810307090,41.81965414410,,,,,,,,,,,,,,,,Y
995,995,Fred Lippitt Woonasquatucket River Greenway,LP,Manton,Providence,MUN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,N,N,-71.46044214310,41.82650536690,,,,,,,,,,,,,,,,Y
996,996,Fred Lippitt Woonasquatucket River Greenway,LP,Goldsmith,Johnston,MUN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,N,N,-71.47295917030,41.83454685020,,,,,,,,,,,,,,,,Y
997,997,Burrillville Skate Park,LP,Chapel,Burrillville,MUN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Y,N,-71.68772597730,41.96817607150,,,,,,,,,,,,,,,,N
998,998,Canal Street Park,LP,Canal,Westerly,MUN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,N,-71.83411245220,41.38957283690,,,,,,,,,,,,,,,,N
999,999,Mud Cove,LP,Meadow,Charlestown,MUN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,N,-71.68793417320,41.36110672940,,,,,,,,,,,,,,,,N
