trail_id,trail_name,steward_id,trail_segment_id,Type,trail_rating,hike,bike,horse,ski,motor,accessible,Comments,length,geometry
15,LincWoods,,358,Paved Road,,,,,,,,LincWoods,161.4792147,
15,LincWoods,,359,Paved Road,,,,,,,,LincWoods,241.4697054,
15,LincWoods,,360,Paved Road,,,,,,,,LincWoods,598.5323039,
15,LincWoods,,361,Paved Road,,,,,,,,LincWoods,1129.464201,
15,LincWoods,,362,Paved Road,,,,,,,,LincWoods,542.6700966,
15,LincWoods,,363,Paved Road,,,,,,,,LincWoods,486.5216755,
15,LincWoods,,364,Paved Road,,,,,,,,LincWoods,527.4198869,
15,LincWoods,,365,Paved Road,,,,,,,,LincWoods,118.1927039,
15,LincWoods,,366,Paved Road,,,,,,,,LincWoods,214.6651072,
15,LincWoods,,367,Paved Road,,,,,,,,LincWoods,83.10121183,
15,LincWoods,,368,Paved Road,,,,,,,,LincWoods,314.5187182,
15,LincWoods,,369,Gravel Road,,,,,,,,LincWoods,219.4460723,
15,LincWoods,,370,Double Track,,,,,,,,LincWoods,649.0848077,
15,LincWoods,,371,Double Track,,,,,,,,LincWoods,394.4642698,
15,LincWoods,,372,Double Track,,,,,,,,LincWoods,215.461185,
15,LincWoods,,373,Gravel Road,,,,,,,,LincWoods,889.8300511,
15,LincWoods,,374,Paved Road,,,,,,,,LincWoods,594.8380165,
15,LincWoods,,375,Paved Road,,,,,,,,LincWoods,896.0446253,
15,LincWoods,,376,Single Track,,,,,,,,LincWoods,631.0541408,
15,LincWoods,,377,Gravel Road,,,,,,,,LincWoods,334.7602141,
15,LincWoods,,378,Single Track,,,,,,,,LincWoods,832.8297386,
15,LincWoods,,1029,Gravel Road,,,,,,,,LincWoods,563.9348181,
15,LincWoods,,1030,Gravel Road,,,,,,,,LincWoods,586.37371,
15,LincWoods,,1040,Paved Road,,,,,,,,LincWoods,2897.142017,
15,LincWoods,,1041,Paved Road,,,,,,,,LincWoods,5259.098764,
15,LincWoods,,1042,Paved Road,,,,,,,,LincWoods,3198.74841,
15,LincWoods,,1043,Paved Road,,,,,,,,LincWoods,240.022789,
15,LincWoods,,1044,Paved Road,,,,,,,,LincWoods,163.1801917,
15,LincWoods,,1045,Paved Road,,,,,,,,LincWoods,938.9387113,
15,LincWoods,,1046,Paved Road,,,,,,,,LincWoods,5154.168802,
15,LincWoods,,1167,Single Track,,,,,,,,LincWoods,1435.318541,
15,LincWoods,,1168,Single Track,,,,,,,,LincWoods,3480.905634,
15,LincWoods,,1169,Single Track,,,,,,,,LincWoods,1598.885649,
15,LincWoods,,1170,Single Track,,,,,,,,LincWoods,2030.480624,
15,LincWoods,,1171,Single Track,,,,,,,,LincWoods,2603.482464,
16,Mount Tom Trail,,858,Double Track,,,,,,,,Mount Tom Trail,3791.106344,
17,Mountain Bike,,785,Single Track,,,,,,,,Mountain Bike,2612.419598,
17,Mountain Bike,,1159,Single Track,,,,,,,,Mountain Bike,7947.54336,
18,Newman Trail,,205,Double Track,,,,,,,,Newman Trail,248.1052405,
18,Newman Trail,,860,Double Track,,,,,,,,Newman Trail,3139.405134,
18,Newman Trail,,861,Double Track,,,,,,,,Newman Trail,2286.146788,
18,Newman Trail,,992,Gravel Road,,,,,,,,NEWMAN,1392.164574,
19,NORTH SOUTH TRAIL,,14,Single Track,,,,,,,,NORTH SOUTH TRAIL,3772.133839,
19,NORTH SOUTH TRAIL,,15,Double Track,,,,,,,,NORTH SOUTH TRAIL,3720.58756,
19,Gormley & North South yellow & blue,,59,Single Track,,,,,,,,Gormley & North South yellow & blue,1388.778933,
19,Gormley & North South yellow & blue,,61,Single Track,,,,,,,,Gormley & North South yellow & blue,2979.115134,
19,Gormley & North South yellow & blue,,66,Double Track,,,,,,,,Gormley & North South yellow & blue,2489.527657,
19,Gormley & North South yellow & blue,,68,Double Track,,,,,,,,Gormley & North South yellow & blue,2679.538128,
19,Gormley & North South yellow & blue,,71,Single Track,,,,,,,,Gormley & North South yellow & blue,4492.076663,
19,NORTH SOUTH TRAIL,,94,Double Track,,,,,,,,NORTH SOUTH TRAIL,2740.018034,
19,NORTH SOUTH TRAIL,,132,Single Track,,,,,,,,NORTH SOUTH TRAIL,1458.8734,
19,NORTH SOUTH TRAIL,,153,Single Track,,,,,,,,NORTH SOUTH TRAIL,1785.465961,
19,NORTH SOUTH TRAIL,,156,Single Track,,,,,,,,"North South Trail, blue blaze",1293.091457,
19,NORTH SOUTH TRAIL,,163,Gravel Road,,,,,,,,NORTH SOUTH TRAIL,252.5685886,
19,NORTH SOUTH TRAIL,,164,Gravel Road,,,,,,,,NORTH SOUTH TRAIL,1795.727779,
19,NORTH SOUTH TRAIL,,963,Double Track,,,,,,,,NORTH SOUTH TRAIL,2092.091787,
19,NORTH SOUTH TRAIL,,1003,Gravel Road,,,,,,,,NORTH SOUTH TRAIL,1424.793873,
